Time,Normalised Renewable Production Profile,Normalised Electricity Consumption Profile
2025-02-07T10:00:00Z,0.690186335,0.721646832
2025-02-07T11:00:00Z,0.697590062,0.734696618
2025-02-07T12:00:00Z,0.719850932,0.732029971
2025-02-07T13:00:00Z,0.727751553,0.715011916
2025-02-07T14:00:00Z,0.75026087,0.699370075
2025-02-07T15:00:00Z,0.740223602,0.727125579
2025-02-07T16:00:00Z,0.752546584,0.780488351
2025-02-07T17:00:00Z,0.769291925,0.853916241
2025-02-07T18:00:00Z,0.751055901,0.823926721
2025-02-07T19:00:00Z,0.741714286,0.755317443
2025-02-07T20:00:00Z,0.766807453,0.658046374
2025-02-07T21:00:00Z,0.737639752,0.490804731
2025-02-07T22:00:00Z,0.711006211,0.367989796
2025-02-07T23:00:00Z,0.699378882,0.292876137
2025-02-08T00:00:00Z,0.65331677,0.249866668
2025-02-08T01:00:00Z,0.633440994,0.22100348
2025-02-08T02:00:00Z,0.604074534,0.195008336
2025-02-08T03:00:00Z,0.565614907,0.170042554
2025-02-08T04:00:00Z,0.547428571,0.129766864
2025-02-08T05:00:00Z,0.519453416,0.119685821
2025-02-08T06:00:00Z,0.455254658,0.179903553
2025-02-08T07:00:00Z,0.395776398,0.324171009
2025-02-08T08:00:00Z,0.342360248,0.47146315
2025-02-08T09:00:00Z,0.300968944,0.582332253
2025-02-08T10:00:00Z,0.223453416,0.631420931
2025-02-08T11:00:00Z,0.21152795,0.656151749
2025-02-08T12:00:00Z,0.178931677,0.679763694
2025-02-08T13:00:00Z,0.154931677,0.675549273
2025-02-08T14:00:00Z,0.128248447,0.672360486
2025-02-08T15:00:00Z,0.129242236,0.693302055
2025-02-08T16:00:00Z,0.152397516,0.749611192
2025-02-08T17:00:00Z,0.12268323,0.7932435
2025-02-08T18:00:00Z,0.131875776,0.777985805
2025-02-08T19:00:00Z,0.164223602,0.711345743
2025-02-08T20:00:00Z,0.195925466,0.598376889
2025-02-08T21:00:00Z,0.162186335,0.479739079
2025-02-08T22:00:00Z,0.162285714,0.326136495
2025-02-08T23:00:00Z,0.170732919,0.217665509
2025-02-09T00:00:00Z,0.197714286,0.206282844
2025-02-09T01:00:00Z,0.193838509,0.187523077
2025-02-09T02:00:00Z,0.183950311,0.156787642
2025-02-09T03:00:00Z,0.186583851,0.101798774
2025-02-09T04:00:00Z,0.208695652,0.050192633
2025-02-09T05:00:00Z,0.240347826,0.036919072
2025-02-09T06:00:00Z,0.235478261,0.069097853
2025-02-09T07:00:00Z,0.273391304,0.125336128
2025-02-09T08:00:00Z,0.331975155,0.253521652
2025-02-09T09:00:00Z,0.347279503,0.363790293
2025-02-09T10:00:00Z,0.360695652,0.406415616
2025-02-09T11:00:00Z,0.360298137,0.427741332
2025-02-09T12:00:00Z,0.342360248,0.493601913
2025-02-09T13:00:00Z,0.34663354,0.509467528
2025-02-09T14:00:00Z,0.388670807,0.540135831
2025-02-09T15:00:00Z,0.442236025,0.607409921
2025-02-09T16:00:00Z,0.455304348,0.666243981
2025-02-09T17:00:00Z,0.506285714,0.771462777
2025-02-09T18:00:00Z,0.544546584,0.733432291
2025-02-09T19:00:00Z,0.554037267,0.636858653
2025-02-09T20:00:00Z,0.581813665,0.546006184
2025-02-09T21:00:00Z,0.567950311,0.412438882
2025-02-09T22:00:00Z,0.559204969,0.246827063
2025-02-09T23:00:00Z,0.556322981,0.140985429
2025-02-10T00:00:00Z,0.581664596,0.178046224
2025-02-10T01:00:00Z,0.562037267,0.181328251
2025-02-10T02:00:00Z,0.613614907,0.160349387
2025-02-10T03:00:00Z,0.616248447,0.149194225
2025-02-10T04:00:00Z,0.627428571,0.119827544
2025-02-10T05:00:00Z,0.639403727,0.19497104
2025-02-10T06:00:00Z,0.650732919,0.451718775
2025-02-10T07:00:00Z,0.648298137,0.648330828
2025-02-10T08:00:00Z,0.632347826,0.699384993
2025-02-10T09:00:00Z,0.653664596,0.804115214
2025-02-10T10:00:00Z,0.681937888,0.827510844
2025-02-10T11:00:00Z,0.724322981,0.853237458
2025-02-10T12:00:00Z,0.754385093,0.876043815
2025-02-10T13:00:00Z,0.767552795,0.872881135
2025-02-10T14:00:00Z,0.747478261,0.82701854
2025-02-10T15:00:00Z,0.738782609,0.843492077
2025-02-10T16:00:00Z,0.74663354,0.897007761
2025-02-10T17:00:00Z,0.73957764,0.969451044
2025-02-10T18:00:00Z,0.730484472,0.9212873
2025-02-10T19:00:00Z,0.72621118,0.864877465
2025-02-10T20:00:00Z,0.690981366,0.757006941
2025-02-10T21:00:00Z,0.649639752,0.582891689
2025-02-10T22:00:00Z,0.646360248,0.406814681
2025-02-10T23:00:00Z,0.631254658,0.276044561
2025-02-11T00:00:00Z,0.595826087,0.281101866
2025-02-11T01:00:00Z,0.587826087,0.250441022
2025-02-11T02:00:00Z,0.583552795,0.225281303
2025-02-11T03:00:00Z,0.567006211,0.194777102
2025-02-11T04:00:00Z,0.555677019,0.18661679
2025-02-11T05:00:00Z,0.530236025,0.208748093
2025-02-11T06:00:00Z,0.551403727,0.403159697
2025-02-11T07:00:00Z,0.530732919,0.685372976
2025-02-11T08:00:00Z,0.555229814,0.798602901
2025-02-11T09:00:00Z,0.54484472,0.872881135
2025-02-11T10:00:00Z,0.542161491,0.909438438
2025-02-11T11:00:00Z,0.554981366,0.91557732
2025-02-11T12:00:00Z,0.571329193,0.89183111
2025-02-11T13:00:00Z,0.53957764,0.879814416
2025-02-11T14:00:00Z,0.532869565,0.84574474
2025-02-11T15:00:00Z,0.557763975,0.861386582
2025-02-11T16:00:00Z,0.56710559,0.889447911
2025-02-11T17:00:00Z,0.553192547,0.969066897
2025-02-11T18:00:00Z,0.541863354,0.942329568
2025-02-11T19:00:00Z,0.54131677,0.887109467
2025-02-11T20:00:00Z,0.527801242,0.743352963
2025-02-11T21:00:00Z,0.515031056,0.532240319
2025-02-11T22:00:00Z,0.53426087,0.357681248
2025-02-11T23:00:00Z,0.500024845,0.239901241
2025-02-12T00:00:00Z,0.465888199,0.244615425
2025-02-12T01:00:00Z,0.464546584,0.26400176
2025-02-12T02:00:00Z,0.460770186,0.233848139
2025-02-12T03:00:00Z,0.436223602,0.187109094
2025-02-12T04:00:00Z,0.434534161,0.147974654
2025-02-12T05:00:00Z,0.442732919,0.195597609
2025-02-12T06:00:00Z,0.441341615,0.425947406
2025-02-12T07:00:00Z,0.414757764,0.612329232
2025-02-12T08:00:00Z,0.405515528,0.730646298
2025-02-12T09:00:00Z,0.419180124,0.799345086
2025-02-12T10:00:00Z,0.399751553,0.790744684
2025-02-12T11:00:00Z,0.380770186,0.786880844
2025-02-12T12:00:00Z,0.374956522,0.808799561
2025-02-12T13:00:00Z,0.361242236,0.809109116
2025-02-12T14:00:00Z,0.384298137,0.821178024
2025-02-12T15:00:00Z,0.396124224,0.840762027
2025-02-12T16:00:00Z,0.366161491,0.90756992
2025-02-12T17:00:00Z,0.354434783,0.957154632
2025-02-12T18:00:00Z,0.368347826,0.935414934
2025-02-12T19:00:00Z,0.407403727,0.87503683
2025-02-12T20:00:00Z,0.405565217,0.773868353
2025-02-12T21:00:00Z,0.439006211,0.586252037
2025-02-12T22:00:00Z,0.443627329,0.429826164
2025-02-12T23:00:00Z,0.421763975,0.297433679
2025-02-13T00:00:00Z,0.379627329,0.272214287
2025-02-13T01:00:00Z,0.35284472,0.297318062
2025-02-13T02:00:00Z,0.321192547,0.29478568
2025-02-13T03:00:00Z,0.316720497,0.289698538
2025-02-13T04:00:00Z,0.281192547,0.252753359
2025-02-13T05:00:00Z,0.286409938,0.255364063
2025-02-13T06:00:00Z,0.290782609,0.492382341
2025-02-13T07:00:00Z,0.287850932,0.704405002
2025-02-13T08:00:00Z,0.289838509,0.763630668
2025-02-13T09:00:00Z,0.276322981,0.844029135
